Max Temp (°C),Min Temp (°C),Mean Temp (°C),Heat Deg Days (°C),Cool Deg Days (°C),Total Rain (mm),Total Snow (cm),Total Precip (mm),Snow on Grnd (cm),avalanche
8.9,5.0,7.0,11.0,0.0,5.3,0.0,5.3,0.0,1
0.3666666666666665,-11.666666666666666,-5.666666666666667,23.666666666666668,0.0,2.8666666666666667,0.1666666666666666,3.033333333333333,76.0,1
21.2875,3.5,12.4125,5.5875,0.0,0.125,0.0,0.125,0.0,1
1.4625,-6.975,-2.775,20.775,0.0,0.075,0.25,0.225,5.833333333333333,1
-2.2333333333333334,-7.2,-4.733333333333333,22.73333333333333,0.0,0.2333333333333333,5.2,5.433333333333334,60.333333333333336,1
2.557142857142857,-6.614285714285714,-2.0428571428571427,20.042857142857144,0.0,0.2857142857142857,3.857142857142857,4.142857142857143,71.14285714285714,1
6.171428571428572,-0.8857142857142858,2.6714285714285717,15.328571428571427,0.0,2.4,1.5714285714285714,3.971428571428572,61.0,1
3.233333333333333,-4.325,-0.0999999999999999,18.1,0.0,0.0,6.133333333333333,6.133333333333333,132.0,1
-0.6333333333333333,-4.233333333333333,-2.433333333333333,20.433333333333334,0.0,1.1333333333333333,0.6,1.7333333333333334,31.0,1
8.983333333333333,0.6666666666666666,4.833333333333333,13.166666666666666,0.0,2.033333333333333,0.6166666666666667,2.65,2.6,1
0.1166666666666667,-9.25,-4.566666666666666,22.566666666666663,0.0,16.233333333333334,6.5,22.566666666666663,51.66666666666666,1
-6.1000000000000005,-15.9,-11.0,29.0,0.0,0.0,15.966666666666669,15.8,50.75,1
-1.86,-5.34,-3.62,21.62,0.0,0.0,5.5,5.5,58.75,1
2.066666666666667,-4.766666666666667,-1.3666666666666665,19.366666666666667,0.0,5.8,1.0,5.566666666666666,8.5,1
-3.6,-15.55714285714286,-9.585714285714284,27.585714285714285,0.0,1.0571428571428572,1.4285714285714286,2.485714285714286,29.5,1
0.8142857142857142,-11.142857142857142,-5.171428571428571,23.17142857142857,0.0,0.3714285714285714,0.8285714285714285,1.2,30.166666666666668,1
0.8571428571428571,-10.928571428571429,-5.042857142857144,23.04285714285714,0.0,0.1714285714285714,1.085714285714286,1.2571428571428571,27.33333333333333,1
-9.014285714285714,-15.416666666666666,-10.55,28.55,0.0,0.0,0.0,0.0,25.0,1
-11.028571428571428,-26.11428571428572,-18.6,36.6,0.0,0.3428571428571428,0.6285714285714287,0.9714285714285714,24.33333333333333,1
-0.5571428571428569,-12.042857142857144,-6.3,24.3,0.0,0.2571428571428572,3.142857142857143,3.4,32.0,1
1.6999999999999995,-7.471428571428571,-2.871428571428571,20.87142857142857,0.0,0.4285714285714285,0.0,0.4285714285714285,25.4,1
-2.528571428571429,-8.757142857142858,-5.6571428571428575,23.65714285714285,0.0,1.9,0.0,1.6285714285714286,30.33333333333333,1
8.89,-3.03,2.95,15.05,0.0,0.475,0.0,0.4222222222222222,35.714285714285715,1
5.63,-1.39,2.13,15.87,0.0,0.225,0.0,0.2,33.142857142857146,1
8.472727272727273,1.0181818181818183,4.763636363636364,13.236363636363636,0.0,1.7222222222222223,1.2875,3.911111111111111,64.25,1
-3.811111111111111,-14.95,-8.899999999999999,26.9,0.0,0.0,4.32,3.628571428571429,58.142857142857146,1
-2.92,-9.15,-6.05,24.05,0.0,0.0,2.1666666666666665,1.6125,72.71428571428571,1
-4.845454545454545,-13.78181818181818,-9.327272727272726,27.327272727272728,0.0,0.0,2.2857142857142856,2.275,77.625,1
-0.5818181818181819,-11.463636363636365,-6.045454545454546,24.045454545454547,0.0,0.0,0.4285714285714285,0.375,90.125,1
4.663636363636363,-11.39090909090909,-3.363636363636364,21.363636363636363,0.0,0.0,0.0,0.3125,85.875,1
0.7000000000000001,-8.163636363636364,-3.7454545454545456,21.745454545454542,0.0,0.0571428571428571,2.4,2.466666666666667,78.875,1
0.5800000000000001,-9.18888888888889,-4.422222222222222,22.422222222222224,0.0,0.0,1.3666666666666665,1.6125,76.85714285714286,1
15.24,5.94,11.1,6.9,0.0,4.066666666666666,0.0,4.222222222222222,0.0,1
-1.6,-8.666666666666666,-5.144444444444445,23.14444444444445,0.0,0.0,4.6,3.3428571428571425,53.0,1
-4.9,-12.828571428571427,-8.9,26.9,0.0,0.0,5.733333333333333,4.48,72.75,1
-1.1857142857142855,-6.871428571428572,-4.057142857142857,22.057142857142857,0.0,0.0,0.9200000000000002,0.7666666666666667,57.8,1
0.9375,-7.2,-3.15,21.15,0.0,0.0,0.0,0.2857142857142857,47.5,1
-1.1749999999999998,-4.5375,-2.8625000000000003,20.8625,0.0,0.0,0.0,0.1571428571428571,44.333333333333336,1
-2.071428571428571,-5.485714285714286,-3.785714285714286,21.785714285714285,0.0,0.0,0.0,0.0,45.6,1
-2.4125,-9.6625,-6.0625,24.0625,0.0,0.0,1.6,1.6,55.66666666666666,1
4.566666666666666,-7.844444444444444,-1.6444444444444446,19.64444444444444,0.0,0.0,3.7714285714285714,3.55,52.85714285714285,1
4.288888888888888,-3.055555555555556,0.6222222222222222,17.37777777777778,0.0,0.8285714285714285,0.7999999999999999,1.4249999999999998,35.57142857142857,1
3.488888888888889,-5.455555555555555,-0.9666666666666666,18.966666666666665,0.0,0.0571428571428571,0.0,0.05,33.857142857142854,1
5.477777777777778,-2.833333333333333,1.344444444444444,16.655555555555555,0.0,0.0571428571428571,0.2857142857142857,0.3,28.714285714285715,1
7.300000000000001,-3.355555555555556,1.9888888888888887,16.01111111111111,0.0,0.0714285714285714,0.0,0.0625,15.0,1
